Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
06/30/2021,02016,26,Aleutians West Census Area,AK,47.8,2691,2686,51.8,2603,52.1,235,56.1,97.3,3323.0,59.0,3317.0,63.9,3193.0,63.9,263.0,62.8,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
06/30/2021,20045,26,Douglas County,KS,46.7,57048,57047,53.0,54501,54.4,13853,88.4,93.2,74150.0,60.6,74140.0,68.9,70548.0,70.4,24443.0,99.9,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
06/30/2021,06091,26,Sierra County,CA,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,Low,,,,
06/30/2021,29099,26,Jefferson County,MO,30.6,68942,68940,35.9,66676,38.4,21911,62.6,90.6,80558.0,35.8,80553.0,42.0,77300.0,44.5,24488.0,70.0,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,19045,26,Clinton County,IA,42.3,19624,19624,49.7,19152,53.4,7566,81.8,97.5,20981.0,45.2,20980.0,53.2,20347.0,56.7,7839.0,84.7,Low-Mod,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,29093,26,Iron County,MO,25.5,2584,2584,29.3,2559,31.9,1265,57.1,90.6,2892.0,28.6,2892.0,32.8,2850.0,35.5,1336.0,60.3,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
06/30/2021,41001,26,Baker County,OR,58.8,9481,9476,67.8,9353,72.4,4814,99.9,97.7,11677.0,72.4,11664.0,83.4,11438.0,88.5,5015.0,99.9,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
06/30/2021,18101,26,Martin County,IN,36.7,3761,3761,42.9,3707,46.4,1497,70.8,98.6,3858.0,37.6,3858.0,44.0,3793.0,47.5,1513.0,71.6,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
06/30/2021,48309,26,McLennan County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,High,,,,
06/30/2021,28133,26,Sunflower County,MS,34.5,8662,8662,40.1,8603,43.7,2631,72.9,98.3,9128.0,36.4,9128.0,42.3,9033.0,45.9,2766.0,76.6,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
